sighting_date,location
2016-06-23,Cahermore
2016-06-22,Dundalk
2016-06-22,Nimmo's Pier
2016-06-20,Black Rock
2016-05-20,Mutton Island
2016-05-18,Black Rock
2016-05-14,Cruisetown Strand
2016-05-04,Nimmo's Pier
2016-04-29,Belmullet Peninsula
2016-04-26,Nimmo's Pier
2016-04-09,Galway
2016-03-26,Balbriggan
2016-03-19,Claddagh Beach
2016-03-15,Nimmo's Pier
2016-03-12,Claddagh Basin
2016-02-27,Hook Peninsula
2016-02-22,Nimmo's Pier
2016-02-22,Cashen
2016-02-21,Kilmurrin
2016-02-13,Nimmo's Pier
2016-02-13,Eyeries
2016-02-13,Portnoo
2016-02-13,Gowlane beach
2016-02-01,Nimmo's Pier / Claddagh Beach
2016-01-31,Claddagh
2016-01-31,Nimmo's Pier
2016-01-30,Killybegs
2016-01-30,Nimmo's Pier
2016-01-29,West Beara
2016-01-26,Nimmo's Pier
2016-01-23,Portnoo
2016-01-23,Killybegs
2016-01-23,Black Rock
2016-01-22,Nimmo's Pier
2016-01-22,Claddagh
2016-01-20,Killybegs
2016-01-19,Nimmo's Pier
2016-01-19,Killybegs
2016-01-18,Ballycotton
2016-01-17,Tawin
2016-01-16,Nimmo's Pier
2016-01-11,Baltimore
2016-01-11,Skibbereen
2016-01-08,Ballycotton
2016-01-08,Killybegs
2016-01-07,Baltimore
2016-01-05,Ballycotton
2016-01-05,Ballyferriter
2016-01-05,Belmullet Peninsula
2016-01-05,Westport
2016-01-04,Fermoyle
2016-01-03,Rossbeigh
2016-01-03,Baltimore
2016-01-03,Waterville
2016-01-02,Ballycotton
2016-01-01,Drumcliffe Bay
2016-01-01,Belmullet Peninsual
2015-12-28,Ballycotton
2015-12-24,Hook Peninsula
2015-12-22,Skerries
2015-12-20,Hook Peninsula
2015-12-20,Ballycotton
2015-12-12,Youghal
2015-11-27,Moville
2015-11-18,Ballinskelligs
2015-11-14,Inch Beach
2015-11-07,Laytown Beach
2015-11-06,Tralee
2015-10-30,Hook Peninsula
2015-10-25,Duncannon
2015-10-24,Hook Head
2015-10-24,Duncannon
2015-10-21,Youghal
2015-10-20,Ballisodare
2015-10-19,Ballycotton
2015-10-18,Easky
2015-10-18,Broadstrand
2015-10-16,Kenmare
2015-10-13,Ferrypoint
2015-10-09,Crookhaven
2015-10-07,Bantry
2015-10-06,Ferrypoint
2015-10-04,Killybegs
2015-10-02,Killybegs
2015-09-29,Dunmore East
2015-09-27,Kenmare
2015-09-27,Ballyloughane Beach
2015-09-27,Crookhaven
2015-09-26,Ballycotton
2015-09-23,Ballycotton
2015-09-22,Duncannon beach
2015-09-21,Lough Swilly
2015-09-20,Ballycotton
2015-09-19,Dunmore
2015-09-09,Ballycotton
2015-09-09,Duncannon
2015-09-09,Easky
2015-09-08,Belmullet Peninsula
2015-09-05,Kenmare
2015-09-01,Duncannon
2015-08-30,Duncannon
2015-08-27,Cashen
2015-08-27,Castletownbere
2015-08-24,Achill Island
2015-08-23,Kenmare
2015-08-21,Baltimore
2015-08-16,Dingle Peninsula
2015-08-15,Easky
2015-08-13,Ballycotton
2015-08-08,Chaerdaniel
2015-08-04,Ballinskelligs
2015-08-01,Crookhaven
2015-07-25,Duncannon
2015-07-25,Bloody Foreland
2015-07-11,Pollacheeny Harbour
2015-07-10,Howth Peninsula
2015-07-10,Baltimore
2015-07-09,Ballycotton
2015-07-09,Arranmore
2015-06-29,Kilkee
